season,treatment,cage,ID,date_init,date_final,expt_length,24-Apr,1-May,8-May,15-May,22_May,24_May,len_init_QC,len_wk1_raw,len_wk2_raw,len_wk3_raw,len_wk4_raw,len_final_QC,height_init,height_final,width_init,width_final,thread_count_raw,thread_count_QC,thread_count_T2-T4,gonad_wt_wet,total_wt_wet,gonad_wt_dry,somatic_wt_dry,total_wt_dry,shell_wt_g,missing/died,notes
Autumn,weekly,6,20,17-Oct-14,15-Nov-14,29,,,,,,,22.6,22.6,23.9,25.7,26.5,26.5,13.7,15.7,8.9,10.0,210,210,152,0.038,0.552,0.007,0.107,0.114,,,
Autumn,weekly,6,30,17-Oct-14,15-Nov-14,29,,,,,,,25.9,25.9,26.2,27.1,27.2,27.2,14.8,15.6,10.7,11.0,148,148,94,0.071,0.842,0.019,0.175,0.194,,,
Autumn,weekly,6,35,17-Oct-14,15-Nov-14,29,,,,,,,29,29.0,29.4,29.9,30.1,30.1,16.2,16.5,12.5,12.9,266,266,181,0.32,1.22,0.073,0.256,0.329,,,
Autumn,never,7,A,17-Oct-14,15-Nov-14,29,,,,,,,26.6,26.6,26.6,26.9,27.3,27.3,14.9,15.3,9.9,10.1,52,52,52,0.08,0.76,0.019,0.155,0.174,,,
Autumn,never,7,7,17-Oct-14,15-Nov-14,29,,,,,,,26.3,26.3,26.5,28.6,29.2,29.2,15.6,17.6,10.6,11.8,240,240,160,0.068,0.887,0.014,0.161,0.175,,,
Autumn,never,7,14,17-Oct-14,15-Nov-14,29,,,,,,,22.8,22.8,22.9,24.5,25.1,25.1,13.2,14.8,9.7,10.9,47,47,27,0.153,0.734,0.031,0.144,0.175,,,
Autumn,never,7,21,17-Oct-14,15-Nov-14,29,,,,,,,27.3,27.3,,28.5,28.9,28.9,15.5,16.5,10.1,11.0,33,33,32,0.06,0.793,0.018,0.175,0.193,,,
Autumn,never,7,18,17-Oct-14,15-Nov-14,29,,,,,,,28.2,23.2,28.4,29.1,29.2,29.2,13.0,14.8,8.8,11.8,49,49,46,0.153,1.035,0.042,0.214,0.256,,,"Initial length was 2.32, but this is likely a typo. It should be 2.82 or near this value."
Autumn,never,8,12,17-Oct-14,15-Nov-14,29,,,,,,,23.6,23.6,24.4,25.7,26,26,13.8,14.5,10.0,10.9,102,102,62,0.052,0.685,0.029,0.138,0.167,,,
Autumn,never,8,23,17-Oct-14,15-Nov-14,29,,,,,,,21.8,29.5,21.8,22.6,22.8,22.8,16.2,13.5,13.0,8.7,107,107,67,0.137,0.439,0.012,0.095,0.107,,,"Initial value was 2.95, but this is likely a typo. It should be closer to 2.1. It might be 1.95?"
Autumn,never,8,33,17-Oct-14,15-Nov-14,29,,,,,,,27.5,27.5,29.9,31.1,31.4,31.4,16.3,17,10.5,13.6,86,86,66,0.276,1.399,0.074,0.308,0.382,,,
Autumn,never,8,36,17-Oct-14,15-Nov-14,29,,,,,,,27.3,,27.3,29.7,30.4,30.4,15.6,17.6,,11.4,204,204,144,0.071,0.892,0.015,0.176,0.191,,,
Autumn,never,8,42,17-Oct-14,15-Nov-14,29,,,,,,,27.2,27.2,27.3,28.1,28.7,28.7,15.7,16.3,11.5,12.0,67,67,52,0.152,0.924,0.04,0.212,0.252,,,
Autumn,never,9,9,17-Oct-14,15-Nov-14,29,,,,,,,24.8,24.8,25.5,26.7,27.4,27.4,14.6,15.5,11.2,12.1,82,82,42,0.146,0.85,0.031,0.164,0.195,,,
Autumn,never,9,19,17-Oct-14,15-Nov-14,29,,,,,,,23.3,23.3,24.6,26.1,26.8,26.8,13.4,14.8,8.8,10.3,102,102,86,0.037,0.582,0.007,0.114,0.121,,,
Autumn,never,9,31,17-Oct-14,15-Nov-14,29,,,,,,,28.8,28.8,29.1,29.8,29.9,29.9,15.7,16.1,11.4,12.0,35,35,20,0.16,1.072,0.048,0.238,0.286,,,
Autumn,never,9,34,17-Oct-14,15-Nov-14,29,,,,,,,24,24.0,24.9,27,27.9,27.9,14.3,15.7,9.4,11.1,124,124,64,0.094,0.731,0.026,0.146,0.172,,,
Autumn,never,9,38,17-Oct-14,15-Nov-14,29,,,,,,,26.8,26.8,27.1,27,27.4,27.4,15.0,15.5,10.3,11.2,6,6,4,0.228,0.968,0.058,0.207,0.265,,,
